experiment_run,n_examples,unique_text_ids,duplicate_text_ids,avg_words,avg_chars,avg_sentences,pct_raw_equals_simplified
claude4_1_shot_confidence_20250814-225242,40,40,0.0,90.05,508.6,7.15,100.0
claude4_1_shot_contrastive_confidence_20250814-231336,40,40,0.0,89.475,512.825,6.825,100.0
claude_4_contrastive_20250807-100046,40,40,0.0,80.625,463.75,5.725,100.0
claude_4_target_20250806-222640,40,40,0.0,86.325,487.9,7.35,100.0
claude_4_with_description_1_shot_20250806-230728,40,40,0.0,84.725,476.975,6.6,100.0
claude_4_with_description_20250806-224715,40,40,0.0,81.225,460.425,6.925,100.0
claude_4_with_description_2_shot_20250806-214815,40,40,0.0,84.55,481.475,6.425,100.0
gemma3_1_shot_confidence_20250814-233832,40,40,0.0,71.525,402.95,4.95,100.0
gemma3_1_shot_contrastive_confidence_20250814-234437,40,40,0.0,70.825,395.9,4.9,100.0
gemma3_2_shot_confidence_20250814-235239,40,40,0.0,72.125,406.65,4.875,100.0
gemma3_2_shot_contrastive_confidence_20250814-235850,40,40,0.0,71.2,398.575,4.625,100.0
gemma_3_contrastive_20250807-102113,40,40,0.0,67.55,381.25,4.625,100.0
gemma_3_target_20250807-032335,40,40,0.0,72.9,417.2,4.925,100.0
gemma_3_with_description_1_shot_20250807-033517,40,40,0.0,71.7,405.7,4.95,100.0
gemma_3_with_description_20250807-032929,40,40,0.0,71.325,405.4,5.15,100.0
gemma_3_with_description_2_shot_20250807-034034,40,40,0.0,71.1,402.675,4.725,100.0
gpt4o_contrastive_20250807-092650,40,40,0.0,66.0,371.2,4.3,100.0
gpt4o_cot_20250727-173349,40,40,0.0,68.825,378.75,4.725,0.0
gpt4o_target_250727-151039,40,40,0.0,73.275,411.525,5.6,0.0
gpt4o_with_description_1_shot_20250727-164212,40,40,0.0,65.275,372.5,5.075,0.0
gpt4o_with_description_20250727-160655,40,40,0.0,73.55,414.15,5.8,0.0
gpt4o_with_description_2_shot_20250727-171917,40,40,0.0,65.225,369.75,4.825,100.0
gpt5_1_shot_confidence_20250814-204650,40,40,0.0,79.775,447.175,6.45,100.0
gpt5_1_shot_contrastive_confidence_20250814-222216,40,40,0.0,81.575,458.55,6.225,100.0
gpt5_2_shot_confidence_20250814-220119,40,40,0.0,80.15,443.3,6.4,100.0
gpt_5_1_shot_20250813-113246,40,40,0.0,73.95,416.5,5.625,100.0
gpt_5_2_shot_20250813-114758,40,40,0.0,76.85,428.9,5.825,100.0
gpt_5_contrastive_20250813-123527,40,40,0.0,75.625,426.4,4.975,100.0
gpt_5_target_20250813-105845,40,40,0.0,73.725,415.85,5.9,100.0
gpt_5_with_description_20250813-111658,40,40,0.0,73.625,414.575,5.875,100.0
gpt_5_with_description_instruct_v1_20250818-122548,40,40,0.0,72.45,416.725,3.7,100.0
o1_1_shot_confidence_20250816-000529,40,40,0.0,69.3,397.575,4.975,100.0
o1_1_shot_contrastive_confidence_20250816-001954,40,40,0.0,71.975,408.875,4.85,100.0
o1_2_shot_confidence_20250816-091341,40,40,0.0,70.1,397.625,4.675,100.0
o1_contrastive_20250807-093035,40,40,0.0,69.525,399.725,4.6,100.0
o1_target_250727-151248,40,40,0.0,71.725,417.15,5.3,0.0
o1_with_description_1_shot_20250727-164428,40,40,0.0,67.175,388.4,4.625,0.0
o1_with_description_20250727-160906,40,40,0.0,71.225,414.75,5.05,0.0
o1_with_description_2_shot_20250727-172126,40,40,0.0,69.425,399.475,4.725,100.0
o1_with_description_instruct_v1_20250818-133011,40,40,0.0,70.425,412.25,3.8,100.0
o3_1_shot_confidence_20250816-001331,40,40,0.0,75.775,424.1,5.825,100.0
o3_1_shot_contrastive_confidence_20250816-002914,40,40,0.0,81.475,455.45,5.8,100.0
o3_2_shot_confidence_20250816-092338,40,40,0.0,78.8,440.1,6.05,100.0
o3_contrastive_20250807-094515,40,40,0.0,75.125,424.75,5.1,100.0
o3_target_250727-151801,40,40,0.0,75.725,431.5,6.2,0.0
o3_with_description_1_shot_20250727-165024,40,40,0.0,76.15,427.475,5.625,0.0
o3_with_description_20250727-161443,40,40,0.0,78.3,445.625,6.375,0.0
o3_with_description_2_shot_20250727-172708,40,40,0.0,72.475,410.1,5.55,100.0
